ADDRESS,CAMERA ID,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
4965 S ARCHER,CHI032,05/01/2018,21,1150880.680088461,1871373.743751604,41.80293879,-87.722181792,"(41.802938790166, -87.72218179156356)"
3116 N NARRAGANSETT AVE,CHI132,05/01/2018,5,1133159.075197319,1920109.559372899,41.93700435,-87.786036722,"(41.93700435024341, -87.78603672187927)"
4831 W LAWRENCE AVE,CHI147,05/01/2018,57,1143137.859882784,1931435.232520927,41.967902328,-87.749078977,"(41.96790232791309, -87.74907897663441)"
536 E MORGAN DR,CHI029,05/01/2018,111,1180984.656814868,1868164.766433233,41.793492646,-87.61187597,"(41.793492645896656, -87.6118759701359)"
3851 W 79th,CHI073,05/01/2018,6,1151859.077753413,1851860.018482846,41.749370908,-87.719104675,"(41.74937090787529, -87.71910467544157)"
2912 W ROOSEVELT,CHI020,05/01/2018,18,1157040.212662274,1894612.12813304,41.866585283,-87.698962375,"(41.86658528313424, -87.69896237494204)"
4433 N WESTERN,CHI055,05/01/2018,11,1159610.141634439,1929516.781948006,41.962313789,-87.688564554,"(41.96231378868856, -87.68856455418805)"
4040 W 55TH,CHI062,05/01/2018,14,1150194.312710597,1867856.573495409,41.793300512,-87.724790362,"(41.79330051203649, -87.72479036232271)"
1117 S PULASKI RD,CHI162,05/01/2018,25,1149923.14048066,1894858.183193096,41.867401835,-87.725083688,"(41.867401834997956, -87.72508368792016)"
6443 W BELMONT AVE,CHI105,05/01/2018,1,1132715.909031448,1920535.619102073,41.938181259,-87.787655485,"(41.938181258548575, -87.78765548502582)"
2329 W DIVISION ST,CHI129,05/01/2018,5,1160535.84687459,1907882.739658927,41.902929409,-87.68576188,"(41.90292940885378, -87.68576187971952)"
6247 W FULLERTON,CHI039,05/01/2018,10,1134158.281732405,1915236.510832825,41.923614583,-87.78247949,"(41.9236145831186, -87.78247948955652)"
11144 S VINCENNES,CHI023,05/01/2018,19,1166993.61310625,1830711.216507448,41.691025456,-87.66424769,"(41.69102545584918, -87.6642476900556)"
732 N PULASKI RD,CHI109,05/01/2018,21,1149547.986237495,1904731.758563629,41.894503309,-87.726204522,"(41.89450330881178, -87.72620452246953)"
1507 W 83rd ST,CHI170,05/01/2018,2,1167695.170326354,1849654.229221654,41.742993035,-87.66113776,"(41.742993034938884, -87.66113775973551)"
3809 W BELMONT AVE,CHI088,05/01/2018,8,1150401.300499035,1920967.933084685,41.939040256,-87.722645911,"(41.939040255975605, -87.72264591078833)"
1111 N HUMBOLDT,CHI010,05/01/2018,36,,,,,
1901 E 75TH ST,CHI138,05/01/2018,15,1190192.110150425,1855579.523137741,41.75874077,-87.57851859,"(41.758740770124234, -87.57851859043261)"
5816 W JACKSON,CHI058,05/01/2018,102,1137564.894528388,1898340.606160034,41.877189405,-87.770369502,"(41.87718940463045, -87.7703695017756)"
2928 S HALSTED,CHI117,05/01/2018,5,1171407.142701029,1885330.617606942,41.840812626,-87.64649261,"(41.84081262592384, -87.64649261049526)"
2416 W 103RD ST,CHI154,05/01/2018,3,1161995.609362911,1836307.312617193,41.706487201,-87.682391059,"(41.70648720051648, -87.68239105927896)"
1226 N WESTERN AVE,CHI128,05/01/2018,14,1160143.276466612,1908203.273733476,41.903817103,-87.687194998,"(41.90381710275111, -87.6871949977686)"
2440 W 51ST ST,CHI099,05/01/2018,1,1160778.794818196,1870825.599642465,41.801235748,-87.685895779,"(41.80123574797641, -87.68589577919322)"
2108 S WESTERN AVE,CHI135,05/01/2018,7,1160653.576373094,1889897.05800109,41.853572622,-87.685827855,"(41.853572622430164, -87.6858278546488)"
8318 S ASHLAND AVE,CHI169,05/01/2018,27,1167083.227060742,1849460.261274806,41.742473855,-87.66338548,"(41.74247385456547, -87.66338547998558)"
6523 N WESTERN,CHI051,05/01/2018,40,1159169.452277881,1943341.864659956,42.000259511,-87.689802909,"(42.00025951144952, -87.68980290863908)"
324 E ILLINOIS ST,CHI126,05/01/2018,2,1178721.705071304,1903728.729069971,41.891134484,-87.61908944,"(41.89113448402406, -87.61908943995478)"
3115 N NARRAGANSETT AVE,CHI104,05/01/2018,2,1133239.690118249,1920090.5748641,41.936950842,-87.785740891,"(41.93695084197675, -87.78574089058974)"
2448 N CLYBOURN AVE,CHI090,05/01/2018,14,1164505.928359546,1916376.376809816,41.926153343,-87.670938087,"(41.926153342916486, -87.67093808722792)"
3200 S ARCHER AVE,CHI144,05/01/2018,45,1165344.912712872,1883513.817021857,41.835958018,-87.668790267,"(41.83595801848586, -87.66879026653764)"
2109 E 87TH ST,CHI145,05/01/2018,39,1191794.819430013,1847666.166195028,41.736987091,-87.572901178,"(41.7369870911534, -87.57290117806258)"
3217 W 55TH ST,CHI166,05/01/2018,1,1155768.430257114,1867930.168343089,41.793392372,-87.704348421,"(41.79339237207923, -87.70434842139014)"
4843 W FULLERTON,CHI044,05/01/2018,24,1143534.106042984,1915477.824504917,41.92410633,-87.748022664,"(41.92410632982652, -87.74802266359677)"
5428 S PULASKI,CHI060,05/01/2018,9,1150589.458033809,1868170.607441069,41.794154584,-87.723333213,"(41.7941545839503, -87.72333321258739)"
5529 S WESTERN,CHI068,05/01/2018,5,,,,,
2549 W ADDISON,CHI028,05/01/2018,78,1158541.126361602,1923785.134861283,41.946607822,-87.69265244,"(41.94660782159649, -87.69265243951607)"
1142 W IRVING PARK,CHI095,05/01/2018,58,1167789.528738809,1926747.106564999,41.954540866,-87.658572521,"(41.95454086624301, -87.65857252142276)"
1334 W GARFIELD BLVD,CHI119,05/01/2018,23,1168211.288538348,1868328.465645528,41.794226466,-87.658709999,"(41.79422646635146, -87.65870999891658)"
4707 W PETERSON AVE,CHI115,05/01/2018,26,1143859.071304929,1939422.942112187,41.989807669,-87.746225804,"(41.98980766908236, -87.74622580384673)"
5420 S RACINE AVE,CHI118,05/01/2018,6,1169208.608674489,1868739.470226128,41.795332775,-87.655040979,"(41.795332774848234, -87.65504097855228)"
2432 N ASHLAND,CHI092,05/01/2018,6,1165215.788124507,1916401.754298868,41.926207903,-87.668328977,"(41.92620790295943, -87.66832897708693)"
6514 W BELMONT AVE,CHI106,05/01/2018,3,1132317.345183897,1920604.474994752,41.938377159,-87.789118713,"(41.93837715933998, -87.78911871294291)"
7422 S JEFFERY,CHI101,05/01/2018,8,1190789.832029907,1856045.670402868,41.760005505,-87.576312983,"(41.760005504685466, -87.57631298283938)"
4042 W ROOSEVELT RD,CHI160,05/01/2018,25,1149437.132077646,1894437.686517121,41.866257378,-87.72687882,"(41.866257378192785, -87.72687882014701)"
2115 S WESTERN AVE,CHI134,05/01/2018,14,1160735.325566845,1889829.27935108,41.853384939,-87.685529682,"(41.85338493884992, -87.68552968203949)"
2712 W IRVING PARK,CHI080,05/01/2018,10,1157447.913673397,1926504.636730878,41.954092657,-87.696596502,"(41.954092657149786, -87.6965965016668)"
2513 W 55TH,CHI070,05/01/2018,15,1160431.748869934,1868077.674728872,41.793702249,-87.687244272,"(41.79370224937009, -87.68724427195639)"
2603 W 79TH,CHI066,05/01/2018,4,1160350.070879175,1852097.826068973,41.74985294,-87.687983475,"(41.749852940263196, -87.68798347502599)"
3646 W MADISON,CHI009,05/01/2018,39,1151844.874455435,1899804.753327747,41.880938186,-87.717898449,"(41.88093818643283, -87.71789844857646)"
3100 W AUGUSTA,CHI011,05/01/2018,10,1155438.362612354,1906531.350675229,41.899325141,-87.704522346,"(41.89932514072566, -87.70452234551168)"
5432 W LAWRENCE,CHI103,05/01/2018,3,1139099.594130043,1931391.06349442,41.96785573,-87.763928644,"(41.96785573012919, -87.76392864369929)"
6125 N CICERO AVE,CHI114,05/01/2018,6,1143321.446253045,1940251.313896504,41.992090875,-87.74818249,"(41.99209087530193, -87.74818249018868)"
449 N COLUMBUS DR,CHI124,05/01/2018,1,1178428.35425324,1903326.613409231,41.890037755,-87.620179034,"(41.89003775504898, -87.62017903427099)"
3535 E 95TH ST,CHI140,05/01/2018,2,1201486.255858151,1842590.389225195,41.722818322,-87.537567465,"(41.722818322421595, -87.53756746533104)"
2550 W 79TH,CHI067,05/01/2018,10,1160502.556225173,1852230.031732533,41.750212593,-87.687421063,"(41.75021259302275, -87.6874210628529)"
4674 W PETERSON AVE,CHI116,05/01/2018,12,1144100.840412846,1939510.241737531,41.990042674,-87.745334319,"(41.99004267366519, -87.7453343185986)"
4432 N LINCOLN,CHI056,05/01/2018,4,1160697.51043315,1929507.413867631,41.96226556,-87.684566996,"(41.96226556022151, -87.68456699562915)"
1229 N WESTERN AVE,CHI127,05/01/2018,65,1160222.668005384,1908226.0930037,41.903878079,-87.686902742,"(41.90387807933294, -87.68690274176198)"
2705 W IRVING PARK,CHI079,05/01/2018,88,1157555.242825448,1926426.21147583,41.953875265,-87.696204089,"(41.95387526461699, -87.69620408862693)"
4929 S PULASKI,CHI030,05/01/2018,31,1150573.998715103,1871490.401558551,41.803264895,-87.723303509,"(41.80326489471, -87.72330350914287)"
10318 S INDIANAPOLIS,CHI120,05/01/2018,113,1203645.368140905,1837056.144574041,41.707576903,-87.529848261,"(41.70757690291348, -87.52984826112849)"
3111 N ASHLAND AVE,CHI171,05/01/2018,6,1165145.222818929,1920790.84196687,41.938253306,-87.668463202,"(41.938253305553516, -87.66846320182256)"
4045 W 55TH,CHI061,05/01/2018,3,1150149.535097381,1867775.778433654,41.793079668,-87.724956656,"(41.79307966774864, -87.72495665631904)"
7739 S WESTERN,CHI064,05/01/2018,27,,,,,
324 S KEDZIE AVE,CHI123,05/01/2018,10,1155057.768104626,1898246.715441378,41.876598942,-87.706142679,"(41.87659894232968, -87.70614267856668)"
346 W 76th ST,CHI136,05/01/2018,7,1175111.640548294,1854589.688795628,41.756374355,-87.633816585,"(41.7563743554102, -87.6338165847716)"
4123 N CENTRAL AVE,CHI049,05/01/2018,2,1138310.38101538,1926965.395448081,41.955725645,-87.766938123,"(41.95572564479322, -87.76693812345056)"
5739 N NORTHWEST HWY,CHI156,05/01/2018,17,1132581.461485981,1938004.278899987,41.986119389,-87.787740827,"(41.98611938850496, -87.7877408267013)"
3655 W JACKSON,CHI008,05/01/2018,23,1151781.484945551,1898394.967222984,41.877070828,-87.718168316,"(41.87707082846323, -87.71816831641307)"
5440 W GRAND,CHI043,05/01/2018,10,1139652.88459503,1913310.682326263,41.918231266,-87.762337058,"(41.91823126606235, -87.7623370579504)"
6818 S KEDZIE,CHI018,05/01/2018,12,1156183.4762995,1859144.993983757,41.769276221,-87.703062595,"(41.769276221338444, -87.70306259506)"
3521 N WESTERN,CHI026,05/01/2018,34,1159788.440574137,1923417.775809662,41.945574091,-87.688077853,"(41.945574090874274, -87.68807785258112)"
3450 W 71ST,CHI015,05/01/2018,8,1154377.983623192,1857351.590718894,41.764390957,-87.70972842,"(41.76439095689881, -87.70972841983624)"
445 W 127TH,CHI045,05/01/2018,104,1175468.445851752,1820629.228565181,41.663174059,-87.633520452,"(41.663174059325534, -87.63352045241697)"
11153 S VINCENNES,CHI022,05/01/2018,18,1167028.75294598,1830593.601477066,41.690701951,-87.664122385,"(41.690701951255015, -87.66412238501842)"
629 S STATE,CHI033,05/01/2018,43,1176497.696371563,1897411.293953239,41.873849599,-87.627447875,"(41.873849598744286, -87.62744787497319)"
2443 N ASHLAND,CHI091,05/01/2018,33,1165293.159880782,1916479.221767233,41.926418831,-87.668042465,"(41.926418831263994, -87.66804246498943)"
1638 N ASHLAND AVE,CHI113,05/01/2018,19,1165381.327302703,1911149.564060055,41.911792045,-87.667870459,"(41.91179204452259, -87.66787045896686)"
140 N ASHLAND,CHI076,05/01/2018,9,1165683.996995108,1901211.265605895,41.884514197,-87.667042094,"(41.88451419700416, -87.66704209415728)"
215 E 63RD ST,CHI146,05/01/2018,56,1178876.815966598,1863250.968100909,41.780056987,-87.61975472,"(41.78005698693417, -87.6197547203603)"
19 W CHICAGO AVE,CHI133,05/01/2018,5,1176000.008484107,1905682.004927479,41.896556107,-87.629025904,"(41.89655610710888, -87.62902590382873)"
6510 W BRYN MAWR AVE,CHI158,05/01/2018,24,1131748.243094333,1936860.226367278,41.982994527,-87.790832088,"(41.98299452666102, -87.79083208818419)"
5330 S COTTAGE GROVE,CHI013,05/01/2018,43,1182452.725004514,1869711.793547827,41.797703886,-87.606444779,"(41.79770388561477, -87.60644477865196)"
57 E 95TH,CHI035,05/01/2018,2,1178586.98154429,1841966.713809109,41.721657133,-87.621462899,"(41.72165713317433, -87.62146289865515)"
5509 W FULLERTON,CHI041,05/01/2018,37,1139212.2827424,1915372.613784541,41.923897472,-87.763905578,"(41.92389747217995, -87.76390557836874)"
4909 N CICERO AVE,CHI149,05/01/2018,164,1143500.84164955,1932251.246745402,41.970134736,-87.747723797,"(41.970134735816295, -87.7477237971432)"
3212 W 55TH ST,CHI167,05/01/2018,1,1155816.394779406,1868011.518813136,41.793614646,-87.704170355,"(41.793614646148406, -87.7041703550325)"
2917 W ROOSEVELT,CHI019,05/01/2018,40,1156991.618473341,1894531.138408719,41.866364024,-87.699142966,"(41.866364024167034, -87.69914296647906)"
341 W 76th ST,CHI137,05/01/2018,1,1175175.124032429,1854511.45995174,41.756158269,-87.633586263,"(41.756158269344546, -87.6335862634599)"
5006 S WESTERN BLVD,CHI173,05/01/2018,22,1161333.9685091,1871365.414704148,41.802705576,-87.683844789,"(41.80270557565183, -87.68384478927206)"
1440 W CERMAK RD,CHI143,05/01/2018,27,1166927.452224739,1889554.984178115,41.85250181,-87.662810318,"(41.85250180995818, -87.66281031843234)"
1315 W GARFIELD BLVD,CHI121,05/01/2018,46,1168444.530011629,1868118.434806125,41.793645091,-87.657860764,"(41.793645091444645, -87.6578607639445)"
6226 W IRVING PARK RD,CHI083,05/01/2018,26,1133995.169966259,1925971.269149065,41.953074826,-87.782825538,"(41.95307482555687, -87.78282553773761)"
4041 W CHICAGO AVE,CHI107,05/01/2018,7,1149134.784201944,1904992.924714128,41.89522799,-87.727715334,"(41.89522798956752, -87.72771533433409)"
1754 N PULASKI RD,CHI157,05/01/2018,8,1149394.77705002,1911607.800369421,41.913374831,-87.7265886,"(41.91337483050126, -87.72658859994081)"
3047 W JACKSON BLVD,CHI122,05/01/2018,15,1155924.803933969,1898487.691160325,41.877242774,-87.702952689,"(41.877242773826396, -87.7029526885659)"
7833 S PULASKI,CHI071,05/01/2018,25,1151122.446651206,1852224.144052921,41.75038453,-87.721794539,"(41.75038452958284, -87.72179453872008)"
3137 W PETERSON,CHI024,05/01/2018,3,1154183.287274807,1939668.834930217,41.990281914,-87.708244626,"(41.9902819135942, -87.70824462568225)"
3832 W 79TH,CHI074,05/01/2018,19,1151723.352626897,1851984.504633979,41.749715177,-87.719598779,"(41.749715176851936, -87.71959877920995)"
2900 W OGDEN,CHI021,05/01/2018,82,1157135.919535262,1892361.67589724,41.860407864,-87.698672099,"(41.86040786445197, -87.69867209877323)"
3034 W FOSTER,CHI025,05/01/2018,13,1155157.924620047,1934429.028230766,41.97588404,-87.704801123,"(41.9758840401294, -87.70480112338926)"
4040 W CHICAGO AVE,CHI108,05/01/2018,36,1149149.69828245,1905073.431920491,41.895448621,-87.727658471,"(41.895448620893006, -87.72765847088665)"
450 N COLUMBUS DR,CHI125,05/01/2018,13,1178351.216208364,1903356.801857411,41.890122353,-87.620461395,"(41.890122352505166, -87.62046139513696)"
5446 W FULLERTON,CHI042,05/01/2018,16,1139459.798121728,1915458.446013142,41.924128491,-87.762993999,"(41.92412849125162, -87.76299399881007)"
9618 S EWING AVE,CHI142,05/01/2018,30,1202074.876819482,1841844.576675849,41.720756806,-87.535436787,"(41.72075680558273, -87.53543678735923)"
4436 N WESTERN,CHI094,05/01/2018,8,1159528.872859255,1929555.550585484,41.96242185,-87.688862275,"(41.9624218495406, -87.68886227502836)"
62 E 95TH,CHI036,05/01/2018,13,1178615.953706068,1842047.62197816,41.721878498,-87.621354328,"(41.72187849819265, -87.62135432849777)"
141 N ASHLAND,CHI075,05/01/2018,1,1165763.976938881,1901213.056860738,41.884517408,-87.666748347,"(41.88451740794813, -87.66674834697315)"
7826 S PULASKI,CHI072,05/01/2018,5,1151040.67965499,1852282.476313374,41.750546198,-87.722092656,"(41.75054619772355, -87.72209265589272)"
2721 W MONTROSE,CHI078,05/01/2018,1,1157328.845238545,1929075.390070401,41.961149383,-87.696964034,"(41.96114938287925, -87.69696403378589)"
6330 S MARTIN LUTHER KING,CHI148,05/01/2018,33,1179971.443247905,1862983.346065067,41.779297609,-87.615749875,"(41.77929760923632, -87.61574987538572)"
3130 N ASHLAND AVE,CHI172,05/01/2018,30,1165057.801533191,1920991.385440163,41.938805468,-87.668778779,"(41.93880546751142, -87.66877877931208)"
3851 W 79th,CHI073,05/02/2018,3,1151859.077753413,1851860.018482846,41.749370908,-87.719104675,"(41.74937090787529, -87.71910467544157)"
6226 W IRVING PARK RD,CHI083,05/02/2018,34,1133995.169966259,1925971.269149065,41.953074826,-87.782825538,"(41.95307482555687, -87.78282553773761)"
5432 W LAWRENCE,CHI103,05/02/2018,2,1139099.594130043,1931391.06349442,41.96785573,-87.763928644,"(41.96785573012919, -87.76392864369929)"
2109 E 87TH ST,CHI145,05/02/2018,46,1191794.819430013,1847666.166195028,41.736987091,-87.572901178,"(41.7369870911534, -87.57290117806258)"
3843 S WESTERN,CHI007,05/02/2018,47,1161037.665305821,1878964.291316377,41.823563957,-87.684721126,"(41.82356395744577, -87.68472112618639)"
4123 N CENTRAL AVE,CHI049,05/02/2018,5,1138310.38101538,1926965.395448081,41.955725645,-87.766938123,"(41.95572564479322, -87.76693812345056)"
1334 W GARFIELD BLVD,CHI119,05/02/2018,17,1168211.288538348,1868328.465645528,41.794226466,-87.658709999,"(41.79422646635146, -87.65870999891658)"
2443 N ASHLAND,CHI091,05/02/2018,43,1165293.159880782,1916479.221767233,41.926418831,-87.668042465,"(41.926418831263994, -87.66804246498943)"
6330 S MARTIN LUTHER KING,CHI148,05/02/2018,40,1179971.443247905,1862983.346065067,41.779297609,-87.615749875,"(41.77929760923632, -87.61574987538572)"
5509 W FULLERTON,CHI041,05/02/2018,26,1139212.2827424,1915372.613784541,41.923897472,-87.763905578,"(41.92389747217995, -87.76390557836874)"
5120 N PULASKI,CHI004,05/02/2018,31,1148759.385878875,1933817.599837362,41.974332655,-87.728347022,"(41.97433265461055, -87.72834702238127)"
3832 W 79TH,CHI074,05/02/2018,13,1151723.352626897,1851984.504633979,41.749715177,-87.719598779,"(41.749715176851936, -87.71959877920995)"
4432 N LINCOLN,CHI056,05/02/2018,3,1160697.51043315,1929507.413867631,41.96226556,-87.684566996,"(41.96226556022151, -87.68456699562915)"
450 N COLUMBUS DR,CHI125,05/02/2018,14,1178351.216208364,1903356.801857411,41.890122353,-87.620461395,"(41.890122352505166, -87.62046139513696)"
2440 W 51ST ST,CHI099,05/02/2018,5,1160778.794818196,1870825.599642465,41.801235748,-87.685895779,"(41.80123574797641, -87.68589577919322)"
5739 N NORTHWEST HWY,CHI156,05/02/2018,19,1132581.461485981,1938004.278899987,41.986119389,-87.787740827,"(41.98611938850496, -87.7877408267013)"
5440 W GRAND,CHI043,05/02/2018,9,1139652.88459503,1913310.682326263,41.918231266,-87.762337058,"(41.91823126606235, -87.7623370579504)"
3115 N NARRAGANSETT AVE,CHI104,05/02/2018,1,1133239.690118249,1920090.5748641,41.936950842,-87.785740891,"(41.93695084197675, -87.78574089058974)"
732 N PULASKI RD,CHI109,05/02/2018,20,1149547.986237495,1904731.758563629,41.894503309,-87.726204522,"(41.89450330881178, -87.72620452246953)"
4040 W 55TH,CHI062,05/02/2018,10,1150194.312710597,1867856.573495409,41.793300512,-87.724790362,"(41.79330051203649, -87.72479036232271)"
2445 W 51ST ST,CHI098,05/02/2018,2,1160731.738553666,1870744.029128142,41.801012881,-87.686070605,"(41.801012880525555, -87.68607060493738)"
6514 W BELMONT AVE,CHI106,05/02/2018,3,1132317.345183897,1920604.474994752,41.938377159,-87.789118713,"(41.93837715933998, -87.78911871294291)"
1111 N HUMBOLDT,CHI010,05/02/2018,25,,,,,
2513 W 55TH,CHI070,05/02/2018,12,1160431.748869934,1868077.674728872,41.793702249,-87.687244272,"(41.79370224937009, -87.68724427195639)"
2712 W IRVING PARK,CHI080,05/02/2018,14,1157447.913673397,1926504.636730878,41.954092657,-87.696596502,"(41.954092657149786, -87.6965965016668)"
2326 W CERMAK RD,CHI111,05/02/2018,2,1161063.270222802,1889382.999252403,41.852153505,-87.684338389,"(41.85215350507168, -87.68433838912533)"
8345 S ASHLAND AVE,CHI168,05/02/2018,13,1167170.493634396,1849194.116924465,41.741741651,-87.663073329,"(41.741741651401504, -87.66307332925098)"
4433 N WESTERN,CHI055,05/02/2018,7,1159610.141634439,1929516.781948006,41.962313789,-87.688564554,"(41.96231378868856, -87.68856455418805)"
4041 W CHICAGO AVE,CHI107,05/02/2018,3,1149134.784201944,1904992.924714128,41.89522799,-87.727715334,"(41.89522798956752, -87.72771533433409)"
346 W 76th ST,CHI136,05/02/2018,11,1175111.640548294,1854589.688795628,41.756374355,-87.633816585,"(41.7563743554102, -87.6338165847716)"
5446 W FULLERTON,CHI042,05/02/2018,20,1139459.798121728,1915458.446013142,41.924128491,-87.762993999,"(41.92412849125162, -87.76299399881007)"
3137 W PETERSON,CHI024,05/02/2018,6,1154183.287274807,1939668.834930217,41.990281914,-87.708244626,"(41.9902819135942, -87.70824462568225)"
341 W 76th ST,CHI137,05/02/2018,5,1175175.124032429,1854511.45995174,41.756158269,-87.633586263,"(41.756158269344546, -87.6335862634599)"
3521 N WESTERN,CHI026,05/02/2018,29,1159788.440574137,1923417.775809662,41.945574091,-87.688077853,"(41.945574090874274, -87.68807785258112)"
3809 W BELMONT AVE,CHI088,05/02/2018,14,1150401.300499035,1920967.933084685,41.939040256,-87.722645911,"(41.939040255975605, -87.72264591078833)"
115 N OGDEN,CHI077,05/02/2018,60,1166484.901862159,1900735.486524538,41.883191521,-87.6641147,"(41.883191521391076, -87.66411469955516)"
2603 W 79TH,CHI066,05/02/2018,2,1160350.070879175,1852097.826068973,41.74985294,-87.687983475,"(41.749852940263196, -87.68798347502599)"
4045 W 55TH,CHI061,05/02/2018,1,1150149.535097381,1867775.778433654,41.793079668,-87.724956656,"(41.79307966774864, -87.72495665631904)"
324 E ILLINOIS ST,CHI126,05/02/2018,1,1178721.705071304,1903728.729069971,41.891134484,-87.61908944,"(41.89113448402406, -87.61908943995478)"
3200 S ARCHER AVE,CHI144,05/02/2018,43,1165344.912712872,1883513.817021857,41.835958018,-87.668790267,"(41.83595801848586, -87.66879026653764)"
3843 W 111TH,CHI048,05/02/2018,18,1152527.402615974,1830667.777755826,41.691202396,-87.717211399,"(41.69120239624487, -87.71721139909997)"
4124 W FOSTER AVE,CHI003,05/02/2018,95,1147852.58857067,1934274.994738347,41.975605302,-87.731669795,"(41.97560530194193, -87.73166979484374)"
2416 W 103RD ST,CHI154,05/02/2018,1,1161995.609362911,1836307.312617193,41.706487201,-87.682391059,"(41.70648720051648, -87.68239105927896)"
2115 S WESTERN AVE,CHI134,05/02/2018,9,1160735.325566845,1889829.27935108,41.853384939,-87.685529682,"(41.85338493884992, -87.68552968203949)"
